Point# (XPN),XPN X,XPN Y,XPN Z,HTol,LTol,XPR X,XPR Y,XPR Z,Deviation,Error,Correction_Magnitude,Remarks
134.0,13.73,13.907,209.0,0.08,0.0,13.685,13.973,209.0,0.08,0.0,1.141,Out of spec
135.0,14.539,14.378,209.0,0.08,0.0,14.502,14.449,209.0,0.08,0.0,1.146,Out of spec
136.0,15.359,14.828,209.0,0.08,0.0,15.329,14.901,209.0,0.08,-0.0,1.126,Within tolerance
137.0,16.191,15.255,209.0,0.08,0.0,16.155,15.326,209.0,0.08,-0.0,1.15,Within tolerance
138.0,17.036,15.658,209.0,0.08,0.0,17.008,15.733,209.0,0.08,-0.0,1.143,Within tolerance
139.0,17.893,16.033,209.0,0.08,0.0,17.86,16.106,209.0,0.08,-0.0,1.136,Within tolerance
140.0,18.764,16.373,209.0,0.08,0.0,18.74,16.45,209.0,0.08,-0.0,1.138,Within tolerance
141.0,19.652,16.668,209.0,0.08,0.0,19.624,16.743,209.0,0.08,0.0,1.138,Out of spec
142.0,20.557,16.902,209.0,0.08,0.0,20.543,16.98,209.0,0.08,0.0,1.144,Out of spec
143.0,21.479,17.061,209.0,0.08,0.0,21.464,17.139,209.0,0.08,-0.0,1.135,Within tolerance
144.0,22.41,17.149,209.0,0.08,0.0,22.404,17.229,209.0,0.08,-0.0,1.146,Within tolerance
145.0,23.345,17.191,209.0,0.08,0.0,23.337,17.27,209.0,0.08,-0.0,1.16,Within tolerance
146.0,24.28,17.209,209.0,0.08,0.0,24.298,17.287,209.0,0.08,0.0,1.147,Out of spec
147.0,24.365,17.202,209.0,0.08,0.0,24.407,17.27,209.0,0.08,-0.0,1.115,Within tolerance
148.0,24.448,17.18,209.0,0.08,0.0,24.496,17.244,209.0,0.08,-0.0,1.092,Within tolerance
149.0,24.524,17.143,209.0,0.08,0.0,24.568,17.21,209.0,0.08,-0.0,1.078,Within tolerance
150.0,24.593,17.093,209.0,0.08,0.0,24.644,17.155,209.0,0.08,-0.0,1.072,Within tolerance
151.0,24.652,17.031,209.0,0.08,0.0,24.729,17.053,209.0,0.08,-0.0,1.031,Within tolerance
152.0,24.698,16.959,209.0,0.08,0.0,24.777,16.953,209.0,0.08,-0.0,0.989,Within tolerance
153.0,24.73,16.88,209.0,0.08,0.0,24.81,16.88,209.0,0.08,0.0,0.954,Out of spec
154.0,24.747,16.796,209.0,0.08,0.0,24.826,16.803,209.0,0.08,0.0,0.941,Out of spec
155.0,24.748,16.711,209.0,0.08,0.0,24.819,16.675,209.0,0.08,0.0,0.932,Out of spec
156.0,24.734,16.627,209.0,0.08,0.0,24.791,16.571,209.0,0.08,0.0,0.903,Out of spec
157.0,24.704,16.547,209.0,0.08,0.0,24.766,16.496,209.0,0.08,-0.0,0.872,Within tolerance
158.0,24.66,16.473,209.0,0.08,0.0,24.709,16.41,209.0,0.08,0.0,0.845,Out of spec
159.0,24.604,16.409,209.0,0.08,0.0,24.658,16.351,209.0,0.08,-0.0,0.833,Within tolerance
160.0,24.537,16.357,209.0,0.08,0.0,24.597,16.304,209.0,0.08,0.0,0.845,Out of spec
161.0,24.461,16.317,209.0,0.08,0.0,24.499,16.247,209.0,0.08,0.0,0.843,Out of spec
